feature,importance
numeric__day_of_month,0.06827431896394529
numeric__yield_tons_per_ha,0.06755318379593155
numeric__max_price_per_kg,0.06145941846299007
numeric__min_price_per_kg,0.05907415465485365
numeric__avg_price_per_kg,0.05297750110807387
numeric__volume_rolling_mean_14,0.047229231974332396
numeric__volume_kg,0.046273220414421834
numeric__temperature_rolling_mean_14,0.0402671332270278
numeric__volume_change_7d,0.037424616128109336
numeric__price_rolling_mean_3,0.030887589096315025
numeric__volume_lag_1,0.02979242196199826
numeric__temperature_rolling_mean_7,0.025992585834597577
numeric__week_of_year,0.025450360998888692
numeric__planted_area_ha,0.024773930192182
numeric__harvested_area_ha,0.024462420110280214
numeric__price_rolling_mean_14,0.024306002455615476
numeric__price_change_7d,0.023686343941954076
numeric__price_rolling_mean_30,0.022476149700531606
numeric__price_lag_1,0.02203207107869309
numeric__volume_lag_7,0.02175654940089084
